Lat.,Lon.,Layer,Time,WA_U,WA_D,WA_R,RUD
35.322973,139.739099,1,0,16.11,11.59,32.59,0.15
35.322973,139.743604,1,0,16.09,11.73,32.13,0.14
35.322973,139.748108,1,0,16.14,11.7,31.57,0.14
35.322973,139.752613,1,0,16.21,11.57,30.95,0.15
35.322973,139.757117,1,0,16.3,11.17,30.16,0.15
35.322973,139.761622,1,0,16.44,10.66,29.28,0.16
35.322973,139.766126,1,0,16.52,10.09,28.42,0.17
35.322973,139.770631,1,0,16.59,9.58,27.64,0.17
35.322973,139.775135,1,0,16.66,8.79,26.71,0.18
35.322973,139.77964,1,0,16.63,8.49,26.27,0.19
35.322973,139.784144,1,0,16.58,8.66,26.22,0.18
35.322973,139.788649,1,0,16.5,8.51,26.01,0.18
35.322973,139.793153,1,0,16.43,9.34,26.63,0.17
35.322973,139.797658,1,0,16.45,10.81,27.79,0.15
35.322973,139.802162,1,0,16.28,11.94,28.74,0.13
35.322973,139.806667,1,0,15.66,12.68,29.3,0.1
35.322973,139.811171,1,0,15.06,12.98,29.56,0.09
35.322973,139.815676,1,0,14.74,12.87,29.55,0.08
35.327477,139.630991,1,0,5.67,-10.16,11.15,0.15
35.327477,139.635495,1,0,11.17,-11.03,20.41,0.2
35.327477,139.662523,1,0,18.82,11.14,38.21,0.18
35.327477,139.667027,1,0,18.46,11.27,38.3,0.18
35.327477,139.671532,1,0,18.1,11.3,38.28,0.17
35.327477,139.676036,1,0,17.79,11.22,38.17,0.17
35.327477,139.680541,1,0,17.55,11.09,37.97,0.17
35.327477,139.685045,1,0,17.42,10.94,37.74,0.17
35.327477,139.68955,1,0,17.21,10.86,37.45,0.17
35.327477,139.694054,1,0,17.09,10.77,37.13,0.17
35.327477,139.698559,1,0,17.01,10.67,36.79,0.17
35.327477,139.703063,1,0,16.8,10.78,36.44,0.16
35.327477,139.707568,1,0,16.67,10.85,36.05,0.16
35.327477,139.712072,1,0,16.54,10.92,35.62,0.16
35.327477,139.716577,1,0,16.38,11.08,35.21,0.15
35.327477,139.721081,1,0,16.21,11.28,34.75,0.15
35.327477,139.725586,1,0,16.06,11.48,34.29,0.15
35.327477,139.73009,1,0,15.91,11.79,33.88,0.14
35.327477,139.734595,1,0,15.83,12.05,33.43,0.14
35.327477,139.739099,1,0,15.75,12.27,32.98,0.13
35.327477,139.743604,1,0,15.72,12.42,32.53,0.13
35.327477,139.748108,1,0,15.69,12.44,31.99,0.13
35.327477,139.752613,1,0,15.72,12.33,31.37,0.13
35.327477,139.757117,1,0,15.77,12.02,30.61,0.13
35.327477,139.761622,1,0,15.83,11.52,29.72,0.14
35.327477,139.766126,1,0,15.86,10.86,28.74,0.15
35.327477,139.770631,1,0,15.9,10.23,27.85,0.15
35.327477,139.775135,1,0,15.89,9.39,26.91,0.16
35.327477,139.77964,1,0,15.85,9.01,26.43,0.17
35.327477,139.784144,1,0,15.79,8.92,26.25,0.16
35.327477,139.788649,1,0,15.67,8.75,26.08,0.16
35.327477,139.793153,1,0,15.54,9.65,26.77,0.15
35.327477,139.797658,1,0,15.49,10.5,27.5,0.13
35.327477,139.802162,1,0,15.23,11.17,28.07,0.12
35.327477,139.806667,1,0,14.69,11.64,28.45,0.1
35.327477,139.811171,1,0,14.09,11.59,28.47,0.09
35.327477,139.815676,1,0,13.6,10.96,28.05,0.09
35.327477,139.82018,1,0,12.79,9.54,27.04,0.09
35.327477,139.824685,1,0,11.2,6.38,24.62,0.1
35.331982,139.635495,1,0,14.43,3.02,31.98,0.16
35.331982,139.64,1,0,17.71,7.59,35.21,0.18
